English,Spanish
ABIDE,Morar - Habitar - Tolerar
ABSORB,Absorber
ADD,Añadir
ADVANCE,Avanzar
AGREE,Acordar - Estar De Acuerdo - Acceder
ANSWER,Contestar - Responder
APPEAR,Aparecer
ARISE,Sugir - Levantarse
ARRIVE,Llegar
ASK,Preguntar
ASSIGN,Asignar
ASSIST,Asistir
ATTACH,Unir - Juntar - Sujetar - Pegar
ATTEND,Atender
AWAKE,Despertar(Se)
AWARD,Otorgar
BATHE,Bañar
BE,Ser-Estar
BEAR,Nacer
BEAT,Vencer - Batir
BECOME,Llegar A Ser - Ponerse - Volverse
BEFALL,Suceder - Acontecer - Ocurrir
BEGIN,Comenzar - Empezar
BEHOLD,Contemplar - Mirar
BELIEVE,Creer
BEND,Doblar(Se) - Encorvar(Se)
BET,Apostar
BID,Mandar - Ordenar
BIND,Unir - Ligar - Atar - Amarrar
BITE,Morder - Picar
BLEED,Sangrar
BLOW,Soplar - Ventear
BOIL,Hervir
BORROW,Pedir prestado
BOTHER,Molestar
BREED,Criar - Educar
BRING,Traer - Llevar
BROADCAST,Difundir - Emitir
BROIL,Asar
BROWN,Tostar
BUILD,Construir - Fundar - Edificar
BURN,Quemar - Incendiar
BURST,Estallar - Reventar
CALL,Llamar
CALM,Calmar
CAMP,Acampar
CANCEL,Cancelar
CARRY,Llevar
CELEBRATE,Celebrar
CHANGE,Cambiar
CHARGE,Cargar
CHECK,Comprobar - Chequear - Verificar
CHEER,Victorear - Alegrar - Animar - Aplaudir
CHEW,Masticar
CHILL,Resfriar
CHOOSE,Escoger - Elegir - Optar
CIRCLE,Rodear - Hacer Un Circulo
CLAP,Aplaudir
CLEAN,Limpiar
CLIMB,Subir
CLING,Agarrar - Aferrarse - Adherirse
CLOSE,Cerrar
CLOTHE,Vestir - Arropar
COLLECT,Coleccionar
COME,Venir
COMPLAIN,Quejarse
COMPLETE,Completar
CONTINUE,Continuar
CONVINCE,Convencer
COOK,Cocinar
COOL,Enfriar - Refrescar(Se) - Calmar(Se)
COPY,Copiar
COST,Costar
COUNT,Contar
COVER,Cubrir
CREEP,Arrastrarse - Deslizarse - Gatear
CROSS,Cruzar - Atravesar
CRY,Llorar - Gritar
CUT,Cortar - Recortar
DANCE,Bailar
DEAL,Negociar - Comerciar
DECIDE,Decidir
DECORATE,Decorar
DEFEND,Defender
DEPEND,Depender
DESCEND,Descender - Bajar
DESCRIBE,Describir
DESTROY,Destruir
DICTATE,Dictar
DIE,Morir
DIG,Cavar - Excavar
DISAGREE,Discrepar - No Estar De Acuerdo
DISCOVER,Descubrir
DISCUSS,Discutir
DO,Hacer
DRAIN,Agotar
DRAW,Dibujar - Trazar
DRESS,Vestir
DRINK,Beber - Tomar
DRIVE,Manejar - Conducir
DUST,Desempolvar
DWELL,Residir - Morar - Habitar
EMPTY,Vaciar
END,Terminar
ENJOY,Gozar(De) - Disfrutar
ENROLL,Matricular
ENTER,Entrar
EXCUSE,Excusar
FADE,Desteñir - Desvanecer(se)
FAIL,Fallar - Fracasar - Perder
FALL,Caer(Se)
FASTEN,Abrochar
FEED,Alimentar(Se)
FEEL,Sentir
FILL,Llenar - Rellenar
FINISH,Acabar(Con) - Terminar
FISH,Pescar
FIT,Caber - Encajar - Ajustar
FIX,Arreglar
FLING,Arrojar - Lanzar - Tirar
FLUNK,Fracasar
FLY,Volar - Huir
FORBID,Prohibir - Privar
FORECAST,Pronosticar
FORGET,Olvidar
FORGIVE,Perdonar
FORSAKE,Abandonar - Dejar
FREEZE,Congelar - Helar
FRY,Freir(Se)
GIVE,Dar - Regalar
